"","Source","SSP","RCP","GCM","Year2","cCotton.sum","cCorn.sum","cRice.sum","cSoybean.sum","cSugar.sum","cWheat.sum"
"28","harmonized","ssp1","rcp26","hadgem",2060,-364372.572470895,-21216483.4981002,-12377802.580079,-1855159.19046062,-55073.0970001441,-5022315.11165356
"29","harmonized","ssp1","rcp26","hadgem",2065,-372713.798270921,-21045966.2430808,-12784353.2646694,-1878402.6747044,-43795.7910917749,-5087094.24674661
"30","harmonized","ssp1","rcp26","hadgem",2070,-374544.693186209,-21832756.1619357,-12885814.5927788,-1865626.03912811,-34300.1510710914,-5106603.7984397
"31","harmonized","ssp1","rcp26","hadgem",2075,-369716.659107129,-21692563.1641413,-12651802.1229498,-1856948.07420328,-28134.6667408547,-5129348.41850834
"32","harmonized","ssp1","rcp26","hadgem",2080,-358474.789737144,-22293247.7184867,-12464074.2230619,-1787666.94907668,-22864.8950429551,-5090450.93753015
"33","harmonized","ssp1","rcp26","hadgem",2085,-345094.881892351,-22640572.7831705,-12282196.7087254,-1705493.08963696,-17216.9715315423,-4982337.23067125
"34","harmonized","ssp1","rcp26","hadgem",2090,-335774.965006776,-22322864.1027381,-12334830.0626247,-1631541.83735492,-13075.9444129364,-4943532.57632877
"35","harmonized","ssp1","rcp26","hadgem",2095,-329705.035567357,-21260688.3398682,-12226386.9138423,-1603616.48685241,-9807.88660134352,-4804047.56400749
"36","harmonized","ssp1","rcp26","hadgem",2100,-320128.042897309,-19740850.7821338,-11930238.6318484,-1557061.9504358,-7918.33206008657,-4638334.66885941
"37","harmonized","ssp1","rcp26","ipsl",2015,-147545.510633502,-10403979.079006,-7620522.27445534,-788928.311817195,-120734.931337747,-4388793.59401154
"38","harmonized","ssp1","rcp26","ipsl",2020,-187446.345096558,-12200569.6798462,-8402877.66971703,-983212.388676697,-153976.933249195,-4659752.32614536
"39","harmonized","ssp1","rcp26","ipsl",2025,-231993.893111731,-14348835.0362128,-9050185.07724218,-1148171.67918399,-184509.360833284,-4530763.21570366
"40","harmonized","ssp1","rcp26","ipsl",2030,-281768.740325195,-16020487.4525166,-9507940.19731229,-1285718.04887814,-197295.992288349,-4506268.50292521
"41","harmonized","ssp1","rcp26","ipsl",2035,-326309.857163765,-17587526.9167198,-10102381.4351054,-1485195.21472403,-169271.950884153,-4678175.68354189
"42","harmonized","ssp1","rcp26","ipsl",2040,-355111.146937852,-19298645.3277752,-10841619.7110266,-1637595.06118045,-143799.758389592,-4791048.96588606
"43","harmonized","ssp1","rcp26","ipsl",2045,-366733.836120153,-20201520.5458397,-11419747.3138861,-1773782.69956145,-112124.337052664,-4805844.27261405
"44","harmonized","ssp1","rcp26","ipsl",2050,-363850.989024248,-20478262.5950518,-11813961.0505722,-1839521.80806566,-91670.4956323543,-4794015.4993378
"45","harmonized","ssp1","rcp26","ipsl",2055,-376817.44143381,-20867454.2480165,-12444251.4057437,-1874116.56402434,-77429.0502122025,-4926262.48163037
"46","harmonized","ssp1","rcp26","ipsl",2060,-388128.618626174,-21661224.6327568,-12851170.6856551,-1967617.73212621,-61764.6074222517,-5237003.14941419
"47","harmonized","ssp1","rcp26","ipsl",2065,-390221.325718169,-21765745.0148934,-13189470.8209714,-1986372.17854868,-52784.6808080985,-5261024.25287229
"48","harmonized","ssp1","rcp26","ipsl",2070,-387380.161445275,-21834998.2367581,-13431784.0851542,-2003943.20217858,-44621.0331152325,-5315578.53721338
"49","harmonized","ssp1","rcp26","ipsl",2075,-381974.190801892,-22153183.6504259,-13178350.2444004,-1932085.22352732,-35185.4437506338,-5281796.1732085
"50","harmonized","ssp1","rcp26","ipsl",2080,-372891.090688755,-22567784.3841427,-13080902.428699,-1874839.25945933,-24726.3793764995,-5173086.58406214
"51","harmonized","ssp1","rcp26","ipsl",2085,-354659.482978995,-22866207.8537913,-12604403.1634826,-1802154.60741172,-18788.1185806847,-5046978.89766536
"52","harmonized","ssp1","rcp26","ipsl",2090,-341295.62089058,-22387559.1545999,-12654733.2785842,-1720835.50636061,-14849.9098762986,-4989936.11130722
"53","harmonized","ssp1","rcp26","ipsl",2095,-323984.467410833,-21472057.8261122,-12490867.6089747,-1701598.26191701,-12173.9378550354,-4822369.08480205
"54","harmonized","ssp1","rcp26","ipsl",2100,-300392.969522612,-20032430.0411041,-12068430.2336453,-1677583.297769,-9594.97712916886,-4633384.11596303
"55","harmonized","ssp1","rcp26","miroc",2015,-138285.512175096,-10846493.9556575,-7804717.94583364,-780577.544160987,-199223.242852127,-4308701.60302329
"56","harmonized","ssp1","rcp26","miroc",2020,-162631.827296891,-12601899.7943595,-8572454.81020509,-974200.206183786,-217795.171255246,-4473422.97166456
"57","harmonized","ssp1","rcp26","miroc",2025,-208754.960233875,-14736710.28238,-9271776.96022316,-1188246.34096756,-216223.70511479,-4483857.06444024
"58","harmonized","ssp1","rcp26","miroc",2030,-256555.275095162,-16507946.3278471,-9900473.55370089,-1368836.25343764,-186662.676170554,-4435970.56593196
"59","harmonized","ssp1","rcp26","miroc",2035,-306703.146277326,-18306848.4721747,-10750874.7102965,-1578602.82069322,-158576.474422962,-4622475.98309699
"60","harmonized","ssp1","rcp26","miroc",2040,-341959.332907289,-20449442.244831,-11176673.8545715,-1757019.2995685,-160716.412295472,-4875304.32634919
"61","harmonized","ssp1","rcp26","miroc",2045,-364815.274090657,-21481559.3670252,-11698918.7143808,-1871371.47685375,-132714.210729154,-5021380.45442842
"62","harmonized","ssp1","rcp26","miroc",2050,-365486.217704771,-21896146.7281831,-12299253.1973772,-1922222.47322173,-101931.077728125,-4965106.11438819
"63","harmonized","ssp1","rcp26","miroc",2055,-376274.036671283,-22615502.1794642,-12738505.3132837,-1960972.76195888,-79067.6728723961,-5106396.27055771
"64","harmonized","ssp1","rcp26","miroc",2060,-385061.193261551,-23263212.0816226,-13185019.7141509,-2023280.36455019,-65300.0400093522,-5181931.26772701
"65","harmonized","ssp1","rcp26","miroc",2065,-389948.229262285,-23328296.0714426,-13678631.7167334,-2032422.67600376,-52234.0158778842,-5227762.62569605
"66","harmonized","ssp1","rcp26","miroc",2070,-391846.797040589,-23616617.8959168,-13913863.0909739,-2025269.89588659,-38140.2289925245,-5293423.36586535
"67","harmonized","ssp1","rcp26","miroc",2075,-385156.392943089,-24020785.6784121,-13934315.3143813,-1985903.38382785,-32068.3154767147,-5254629.85968447
"68","harmonized","ssp1","rcp26","miroc",2080,-373315.149013005,-24461973.653237,-13718529.9426838,-1894220.70153677,-23803.9893251135,-5192950.04143086
"69","harmonized","ssp1","rcp26","miroc",2085,-362881.076005429,-24718748.6745531,-13669003.5666106,-1828171.46841977,-17613.5388045821,-5099718.48401053
"70","harmonized","ssp1","rcp26","miroc",2090,-347413.226478296,-24237310.2662228,-13864000.490541,-1777016.44759615,-13981.4809833448,-5035542.6822873
"71","harmonized","ssp1","rcp26","miroc",2095,-332170.32208191,-22940895.3596602,-13608243.7612708,-1749706.31615904,-10402.3279483989,-4870542.8043484
"72","harmonized","ssp1","rcp26","miroc",2100,-313661.588458927,-20590694.3944076,-13291030.2303701,-1706656.4719747,-7651.77984537093,-4673152.36540734
"73","harmonized","ssp1","rcp26","noresm",2015,-142022.315676321,-9693518.53819114,-7491402.16784017,-790261.308284262,-177447.192182416,-4343579.55086934
"74","harmonized","ssp1","rcp26","noresm",2020,-180127.105587957,-11382602.0899167,-8330694.0842836,-992662.178434534,-146126.881355287,-4709397.25390524
"75","harmonized","ssp1","rcp26","noresm",2025,-219734.071317136,-13271511.4480339,-8912603.88931079,-1140747.33814121,-162003.152752822,-4700527.35970238
"76","harmonized","ssp1","rcp26","noresm",2030,-262678.752811861,-14848361.7942904,-9362871.16180512,-1328148.32657027,-172504.634305501,-4645331.96320462
"77","harmonized","ssp1","rcp26","noresm",2035,-316337.343024469,-16405551.517659,-10225019.8785227,-1511793.58211989,-143362.979436825,-4698676.74485817
"78","harmonized","ssp1","rcp26","noresm",2040,-356512.467667093,-17821645.386243,-10834946.2924644,-1642005.12182259,-131100.874757163,-4894372.47448278
"79","harmonized","ssp1","rcp26","noresm",2045,-372279.77958921,-18724334.8163535,-11640422.366965,-1709597.38707954,-107222.69348908,-5013584.59045151
"80","harmonized","ssp1","rcp26","noresm",2050,-369144.513912608,-19259406.5719985,-12107795.3088149,-1763661.5423512,-86346.9376169015,-5023912.22421466
