ssps,rcps,gcms,years,sep
ssp3,rcp45,gfdl,2095,_
ssp3,rcp45,gfdl,2100,_
ssp3,rcp60,gfdl,2015,_
ssp3,rcp60,gfdl,2020,_
ssp3,rcp60,gfdl,2025,_
ssp3,rcp60,gfdl,2030,_
ssp3,rcp60,gfdl,2035,_
ssp3,rcp60,gfdl,2040,_
ssp3,rcp60,gfdl,2045,_
ssp3,rcp60,gfdl,2050,_
ssp3,rcp60,gfdl,2055,_
ssp3,rcp60,gfdl,2060,_
ssp3,rcp60,gfdl,2065,_
ssp3,rcp60,gfdl,2070,_
ssp3,rcp60,gfdl,2075,_
ssp3,rcp60,gfdl,2080,_
ssp3,rcp60,gfdl,2085,_
ssp3,rcp60,gfdl,2090,_
ssp3,rcp60,gfdl,2095,_
ssp3,rcp60,gfdl,2100,_
ssp4,rcp26,gfdl,2015,_
ssp4,rcp26,gfdl,2020,_
ssp4,rcp26,gfdl,2025,_
ssp4,rcp26,gfdl,2030,_
ssp4,rcp26,gfdl,2035,_
ssp4,rcp26,gfdl,2040,_
ssp4,rcp26,gfdl,2045,_
ssp4,rcp26,gfdl,2050,_
ssp4,rcp26,gfdl,2055,_
ssp4,rcp26,gfdl,2060,_
ssp4,rcp26,gfdl,2065,_
ssp4,rcp26,gfdl,2070,_
ssp4,rcp26,gfdl,2075,_
ssp4,rcp26,gfdl,2080,_
ssp4,rcp26,gfdl,2085,_
ssp4,rcp26,gfdl,2090,_
ssp4,rcp26,gfdl,2095,_
ssp4,rcp26,gfdl,2100,_
ssp4,rcp45,gfdl,2015,_
ssp4,rcp45,gfdl,2020,_
ssp4,rcp45,gfdl,2025,_
ssp4,rcp45,gfdl,2030,_
ssp4,rcp45,gfdl,2035,_
ssp4,rcp45,gfdl,2040,_
ssp4,rcp45,gfdl,2045,_
ssp4,rcp45,gfdl,2050,_
ssp4,rcp45,gfdl,2055,_
ssp4,rcp45,gfdl,2060,_
ssp4,rcp45,gfdl,2065,_
ssp4,rcp45,gfdl,2070,_
ssp4,rcp45,gfdl,2075,_
ssp4,rcp45,gfdl,2080,_
ssp4,rcp45,gfdl,2085,_
ssp4,rcp45,gfdl,2090,_
ssp4,rcp45,gfdl,2095,_
ssp4,rcp45,gfdl,2100,_
ssp4,rcp60,gfdl,2015,_
ssp4,rcp60,gfdl,2020,_
ssp4,rcp60,gfdl,2025,_
ssp4,rcp60,gfdl,2030,_
ssp4,rcp60,gfdl,2035,_
ssp4,rcp60,gfdl,2040,_
ssp4,rcp60,gfdl,2045,_
ssp4,rcp60,gfdl,2050,_
ssp4,rcp60,gfdl,2055,_
ssp4,rcp60,gfdl,2060,_
ssp4,rcp60,gfdl,2065,_
