region_id,basin_id,cotton,maize,rice,soybean,sugar,wheat
1,7,0,0,0,0,0,0
1,19,0,0,0,0,0,0
1,23,0,24.52589435,0,1.675279316,16.62928647,1.962663114
1,27,0,23.62459469,0,0,0,2.262495569
1,96,2.376274328,60.69483878,0,0,0,6.854211965
1,101,0,1.192501193,0.001384615,0,13.50248677,0
1,212,1.019769336,24.9359628,0.982719709,0,13.83530729,2.730439854
1,213,0.000458205,44.81949765,0.007916473,2.725819807,3.317629759,3.036518264
1,214,1.318595564,14.54278814,3.021209886,1.512700533,10.02062751,2.188214984
1,215,0,17.44560815,0,0,0.162404414,1.231000741
1,216,1.250034655,21.26302937,0,0,0.329842249,1.864296847
1,217,0.009132908,26.43775137,0.001562288,0,0.537077197,2.172916333
1,218,0.000892112,30.52217163,0,1.099015456,8.874167009,2.145055954
1,219,0.45309009,26.36982141,0.349786952,1.258172883,0.010164125,2.124231651
1,220,0.904997706,15.11938443,0.598495463,0.475213781,1.446074868,1.483513611
1,221,0.787835936,18.67495045,0.042662608,0.98232505,1.305918183,2.054237864
1,222,0,31.03196022,0,1.59699589,5.386934805,2.801804817
1,223,0.004935152,35.24483656,0.000219777,1.805065156,0,2.870437052
1,224,0,22.47450282,0,7.27E-05,9.206555628,2.869972563
1,225,0.42418146,32.51814006,0,1.201175093,0,2.225533174
1,226,0.587547687,17.16723413,0,0.027339614,0.336417265,1.607444517
1,227,0,28.90442531,0,0.192218177,0,0.324094641
1,228,0.023058178,28.43015598,0,1.446170072,0,2.962257942
2,87,0.572337531,0.60526527,0.794026958,0.429553245,43.06765281,0.450758413
2,93,0,0,0,0,0,0
2,100,0.013539073,0.062963226,0.124027487,0.019273355,3.653685581,0.054974495
2,142,0.001734588,0.000735469,0.002164651,0,0.116676097,0.0019509
2,148,1.00974896,0.462731269,1.374481612,0,68.0486769,1.022250951
2,167,0.428481853,0.85421585,1.795098848,1.008600996,65.00275652,0.905417521
2,168,0.41072644,1.30977978,3.200796087,0.000824523,73.72073159,1.436121403
2,173,0.924593807,0.689867338,1.500337454,0.805291404,19.77526529,1.796992851
2,175,0.638983354,0.987038522,0.835452629,1.694554886,63.10758969,0.733394886
2,179,0.545415755,1.117023603,1.756010939,0.662481883,51.6950099,0.675572133
3,63,0.484285714,0,0,0,8.158600148,0
3,75,0.075415239,0.198816206,0.251855236,0.085851749,3.557106481,0.155702142
3,80,0.191454389,2.372141791,0.271465789,0.022953841,2.65964927,0.3178645
